traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
No Control,Clear,Dark,Wet,Non-Fatal Injury,Major,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,Minor,Normal,Yes,Yes,Yes,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Wet,Non-Fatal Injury,None,"Ability Impaired, Alcohol Over .08",Yes,Yes,Yes,None
No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,None,None,None,None,None,None
No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Wet,Fatal,Fatal,Unknown,None,None,None,None
No Control,Clear,Dark,Wet,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Wet,Fatal,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Fatal,None,Normal,None,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,Yes
No Control,Clear,Daylight,Wet,Fatal,Minimal,None,Yes,Yes,None,None
No Control,Clear,Daylight,Wet,Fatal,Minimal,None,Yes,Yes,None,None
No Control,Clear,Daylight,Wet,Fatal,Fatal,None,Yes,Yes,None,None
No Control,Clear,Daylight,Wet,Fatal,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Wet,Fatal,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Wet,Fatal,None,None,Yes,Yes,None,None
Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,None,None,Yes,Yes,None,None
Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dusk,Dry,Fatal,None,Unknown,Yes,Yes,None,None
No Control,Clear,Dusk,Dry,Fatal,Major,None,Yes,Yes,None,None
No Control,Clear,Dusk,Dry,Fatal,Fatal,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Had Been Drinking,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dawn,Dry,Fatal,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Dawn,Dry,Fatal,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dawn,Dry,Fatal,None,Normal,Yes,Yes,None,None
